timestamp, GAS, COAL, OIL, SOLAR, WIND, THERMO, STORAGE
2019-12-01 00:00:00, 3206.079326570034, 2462.0625, 0, 0, 1.344548448300884, 0, 0
2019-12-01 01:00:00, 2889.6716791577637, 2365.921875, 0, 0, 1.2705610990524292, 0, 0
2019-12-01 02:00:00, 2878.202072347128, 2126.140625, 0, 0, 0.789261519908905, 0, 0
2019-12-01 03:00:00, 2887.905559216626, 2036.59375, 0, 0, 1.1175060916411894, 0, 0
2019-12-01 04:00:00, 2989.8779114456847, 2035.734375, 0, 0, 1.6771563179790974, 0, 0
2019-12-01 05:00:00, 3346.6404497969615, 2035.828125, 0, 0, 1.744318600045517, 0, 0
2019-12-01 06:00:00, 3829.234650505823, 2035.15625, 0, 0, 0.9960105924401432, 0, 0
2019-12-01 07:00:00, 4249.495427286252, 2193.359375, 0, 13.38542115688324, 0.31131887482479215, 0, 0
2019-12-01 08:00:00, 4338.095868511125, 2083.59375, 0, 60.58884680271149, 0.058247899636626244, 0, 0
2019-12-01 09:00:00, 4219.226858541369, 2090.046875, 0, 100.11740350723267, 0.0006025335169397295, 0, 0
2019-12-01 10:00:00, 4207.217659173999, 2042.9375, 0, 138.83317184448242, 0, 0, 0
2019-12-01 11:00:00, 4191.063241454307, 2046.46875, 0, 124.33183908462524, 0.44681767001748085, 0, 0
2019-12-01 12:00:00, 4132.752006380819, 2108.734375, 0, 154.9921236038208, 1.0071434900164604, 0, 0
2019-12-01 13:00:00, 4093.2964319172315, 2284.875, 0, 138.81258296966553, 0.9768209755420685, 0, 0
2019-12-01 14:00:00, 4235.480313767679, 2509.75, 0, 99.17969524860382, 4.077596798539162, 0, 0
2019-12-01 15:00:00, 4543.212609699927, 2548.65625, 0, 40.6074036359787, 10.11255156993866, 0, 0
2019-12-01 16:00:00, 4930.26691706758, 2403.625, 0, 3.773938000202179, 9.247567594051361, 0, 0
2019-12-01 17:00:00, 5630.658050233033, 2428.890625, 0, 0, 4.89399841427803, 0, 0
2019-12-01 18:00:00, 5853.314439008478, 2366.4375, 0, 0, 6.918794393539429, 0, 0
2019-12-01 19:00:00, 5877.643026872072, 2309.40625, 0, 0, 5.166576653718948, 0, 0
2019-12-01 20:00:00, 5726.862063322216, 2216.578125, 0, 0, 3.39170378446579, 0, 0
2019-12-01 21:00:00, 5480.722189015709, 2046.515625, 0, 0, 3.9293903410434723, 0, 0
2019-12-01 22:00:00, 4995.782407435123, 2046.453125, 0, 0, 2.7812898755073547, 0, 0
2019-12-01 23:00:00, 4432.556002514437, 2020.796875, 0, 0, 4.667017996311188, 0, 0
2019-12-02 00:00:00, 3839.569482809864, 2020.015625, 0, 0, 5.054916210472584, 0, 0
2019-12-02 01:00:00, 3419.92325991299, 2022.546875, 0, 0, 7.829508766531944, 0, 0
2019-12-02 02:00:00, 3158.848803016823, 2021.5625, 0, 0, 3.6461919844150543, 0, 0
2019-12-02 03:00:00, 3035.565816738177, 2023.25, 0, 0, 2.143058530986309, 0, 0
2019-12-02 04:00:00, 3149.291997454129, 2024.703125, 0, 0, 0.5232264176011086, 0, 0
2019-12-02 05:00:00, 3401.394455865957, 2147.71875, 0, 0, 0.4992858236655593, 0, 0
2019-12-02 06:00:00, 3798.4680239316076, 2289.671875, 0, 0, 0.5086829625070095, 0, 0
2019-12-02 07:00:00, 4578.016437060665, 2093.9375, 0, 21.158729910850525, 0.16171299514826387, 0, 0
2019-12-02 08:00:00, 4523.291829004884, 2040.984375, 0, 90.23695993423462, 1.0748040936887264, 0, 0
2019-12-02 09:00:00, 4368.581319230609, 2050.015625, 0, 103.70467102527618, 0.8828145768493414, 0, 0
2019-12-02 10:00:00, 4226.749990218785, 2051.984375, 0, 162.60231971740723, 2.6565912067890167, 0, 0
2019-12-02 11:00:00, 4229.296387413517, 2049.28125, 0, 134.71654057502747, 4.421130657196045, 0, 0
2019-12-02 12:00:00, 4164.434145175852, 2050.828125, 0, 132.32740032672882, 13.119673047065735, 0, 0
2019-12-02 13:00:00, 4326.342117216904, 2059.234375, 0, 113.27213621139526, 15.095603618621826, 0, 0
2019-12-02 14:00:00, 4570.206065002829, 2054.46875, 0, 104.28491938114166, 15.369392580986023, 0, 0
2019-12-02 15:00:00, 4885.425645682495, 2061.671875, 0, 52.82543170452118, 18.087969846725464, 0, 0
2019-12-02 16:00:00, 5169.76122498617, 2058.578125, 0, 5.473834753036499, 15.463250789642334, 0, 0
2019-12-02 17:00:00, 5828.225309507921, 2305.46875, 0, 0, 14.159733328819275, 0, 0
2019-12-02 18:00:00, 6052.059596920735, 2325.359375, 0, 0, 10.614822447299957, 0, 0
2019-12-02 19:00:00, 6000.253131229896, 2321.96875, 0, 0, 5.392916738986969, 0, 0
2019-12-02 20:00:00, 5780.710596065968, 2365.8125, 0, 0, 1.2089884877204895, 0, 0
2019-12-02 21:00:00, 5453.019005787559, 2246.890625, 0, 0, 1.3593688160181046, 0, 0
2019-12-02 22:00:00, 4907.956392406486, 2229.125, 0, 0, 1.8378012031316757, 0, 0
2019-12-02 23:00:00, 4325.106657241937, 2216.390625, 0, 0, 0.17947419174015522, 0, 0
2019-12-03 00:00:00, 3865.2512781829573, 2011.125, 0, 0, 1.5564034583803732e-05, 0, 0
2019-12-03 01:00:00, 3357.0426905518398, 2059.8125, 0, 0, 0, 0, 0
2019-12-03 02:00:00, 3143.9599803229794, 2012.96875, 0, 0, 0.0015566349029541016, 0, 0
2019-12-03 03:00:00, 3052.117420695722, 2017.140625, 0, 0, 0, 0, 0
