Timestamp, Sum, GAS, COAL, OIL, SOLAR, WIND, THERMO, STORAGE
2018-06-01 00:00:00, 3686.8678681515157 , 2737.485827565193, 938.375, 0, 10.995361328125, 0.011679258197546005, 0, 0
2018-06-01 00:30:00, 3590.0016922662035 , 2692.097060084343, 888.390625, 0, 9.472004890441895, 0.042002291418612, 0, 0
2018-06-01 01:00:00, 3463.784511528909 , 2571.2015543580055, 884.515625, 0, 7.815316200256348, 0.25201597064733505, 0, 0
2018-06-01 01:30:00, 3403.131766743958 , 2510.6324962973595, 886.109375, 0, 6.158627510070801, 0.23126793652772903, 0, 0
2018-06-01 02:00:00, 3327.17464559339 , 2468.9722948670387, 853.6875, 0, 4.501938819885254, 0.012911906465888023, 0, 0
2018-06-01 02:30:00, 3230.8463022441138 , 2397.04245275259, 830.953125, 0, 2.845250129699707, 0.005474361823871732, 0, 0
2018-06-01 03:00:00, 3197.7233211249113 , 2362.6172491908073, 833.8125, 0, 1.1885615587234497, 0.10501037538051605, 0, 0
2018-06-01 03:30:00, 3183.791540078819 , 2357.006115078926, 826.71875, 0, 0.06667499989271164, 0, 0, 0
2018-06-01 04:00:00, 3133.247216694057 , 2294.9461666941643, 838.234375, 0, 0.06667499989271164, 0, 0, 0
2018-06-01 04:30:00, 3126.218135989766 , 2288.342226445675, 837.796875, 0, 0.06667499989271164, 0.012359544198261574, 0, 0
2018-06-01 05:00:00, 3106.7440073788166 , 2284.735249221325, 821.8125, 0, 0.06667499989271164, 0.12958315759897232, 0, 0
2018-06-01 05:30:00, 3066.0470376461744 , 2247.4457443356514, 817.765625, 0, 0.09774460643529892, 0.7379237040877342, 0, 0
2018-06-01 06:00:00, 2991.647104367614 , 2168.0901678800583, 822.25, 0, 0.19497369229793549, 1.1119627952575684, 0, 0
2018-06-01 06:30:00, 3065.685064556543 , 2230.74689245224, 829.140625, 0, 5.442199110984802, 0.3553479933179915, 0, 0
2018-06-01 07:00:00, 3148.5050695836544 , 2304.826616346836, 824.796875, 0, 18.6426739692688, 0.23890426754951477, 0, 0
2018-06-01 07:30:00, 3288.5686590522528 , 2426.977283537388, 828.140625, 0, 33.39964759349823, 0.05110292136669159, 0, 0
2018-06-01 08:00:00, 3363.1491772532463 , 2489.7145608067513, 827.21875, 0, 45.964690923690796, 0.25117552280426025, 0, 0
2018-06-01 08:30:00, 3490.6088970662095 , 2603.4776017069817, 829.953125, 0, 56.784494400024414, 0.39367595920339227, 0, 0
2018-06-01 09:00:00, 3578.660515014082 , 2683.236557483673, 831.40625, 0, 63.74115228652954, 0.27655524387955666, 0, 0
2018-06-01 09:30:00, 3668.340438458137 , 2763.7810129523277, 831.703125, 0, 72.69934558868408, 0.15695491712540388, 0, 0
2018-06-01 10:00:00, 3705.0898126140237 , 2802.978177666664, 828.6875, 0, 72.99683666229248, 0.42729828506708145, 0, 0
2018-06-01 10:30:00, 3733.0748630724847 , 2822.3515177965164, 830.859375, 0, 79.69409799575806, 0.16987228021025658, 0, 0
2018-06-01 11:00:00, 3788.2107990160584 , 2872.963769853115, 829.359375, 0, 85.48673629760742, 0.4009178653359413, 0, 0
2018-06-01 11:30:00, 3827.3275555968285 , 2914.4568266272545, 830.46875, 0, 81.61475610733032, 0.7872228622436523, 0, 0
2018-06-01 12:00:00, 3809.5057136416435 , 2889.121940970421, 827.140625, 0, 90.69928455352783, 2.5438631176948547, 0, 0
2018-06-01 12:30:00, 3832.71507447958 , 2918.390802681446, 828.109375, 0, 81.2627100944519, 4.952186703681946, 0, 0
2018-06-01 13:00:00, 3814.480676114559 , 2889.7998099327087, 831.359375, 0, 89.02822828292847, 4.2932628989219666, 0, 0
2018-06-01 13:30:00, 3807.428474485874 , 2885.499328792095, 824.546875, 0, 91.90356969833374, 5.4787009954452515, 0, 0
2018-06-01 14:00:00, 3835.9167197346687 , 2908.4984470009804, 828.6875, 0, 90.45358371734619, 8.277189016342163, 0, 0
2018-06-01 14:30:00, 3807.093212366104 , 2885.2992663383484, 828.9375, 0, 87.13155269622803, 5.72489333152771, 0, 0
2018-06-01 15:00:00, 3808.611005589366 , 2887.3850579708815, 829.6875, 0, 83.7607684135437, 7.777679204940796, 0, 0
2018-06-01 15:30:00, 3798.9751399457455 , 2876.2457140386105, 837.21875, 0, 79.49127101898193, 6.019404888153076, 0, 0
2018-06-01 16:00:00, 3791.399738042355 , 2873.639440238476, 837.546875, 0, 71.2861967086792, 8.927226095199584, 0, 0
2018-06-01 16:30:00, 3804.6361125063895 , 2898.815820634365, 833.78125, 0, 63.11070799827576, 8.928333873748779, 0, 0
2018-06-01 17:00:00, 3837.9649326938393 , 2932.1257088035345, 841.265625, 0, 55.26888656616211, 9.304712324142455, 0, 0
2018-06-01 17:30:00, 3895.6846847486495 , 2998.4265027046204, 845.75, 0, 42.40799820423126, 9.100183839797973, 0, 0
2018-06-01 18:00:00, 3947.004566783905 , 3065.9041043519974, 845.34375, 0, 26.7202011346817, 9.036511297225951, 0, 0
2018-06-01 18:30:00, 3975.917208249569 , 3037.578173518181, 919.46875, 0, 11.611981809139252, 7.2583029222488396, 0, 0
2018-06-01 19:00:00, 3959.4893153262137 , 3022.404439508915, 929.65625, 0, 1.8712753653526306, 5.557350451946258, 0, 0
2018-06-01 19:30:00, 3926.293595351279 , 2994.7642124295235, 926.234375, 0, 0.05000624805688858, 5.245001673698425, 0, 0
2018-06-01 20:00:00, 3916.1660027876496 , 2986.960630774498, 928.640625, 0, 0.05000624805688858, 0.5147407650947571, 0, 0
